Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP	PF_NOT_ALIGNED_BASES
BSS_C04	12428890030.0	8497778868.0	2114.0	1697015570.0	1576813866.0	3426754359.0	1797193283.0	0.0	17287348.0	475846.0	0.0	19.9701	18.5556	40.3253	21.149	38.5257	26.3405	97.32119999999999	0.448765	0.612052	0.870219	0.708875				3931111162.0
BSS_C05	14085333454.0	9862004793.0	13590.0	1522099048.0	1400987581.0	4239686859.0	2699219979.0	0.0	15147093.0	1026296.0	9.999999999999999e-05	15.434000000000001	14.2059	42.9901	27.3699	29.6399	20.752699999999997	93.65440000000001	0.444059	0.615943	0.832596	0.718882				4223328661.0
BSS_C06	17763585640.0	12307291780.0	12382.0	1057362673.0	1198557134.0	5679348313.0	4372013321.0	0.0	10964079.0	1575460.0	9.999999999999999e-05	8.5914	9.7386	46.1462	35.5238	18.3299	12.6997	87.43610000000001	0.592035	0.545215	0.724493	0.695764				5456293860.0
BSS_D01	15661717886.0	10777168023.0	8456.0	2446486611.0	2268867850.0	4459752753.0	1602053588.0	0.0	25013417.0	644287.0	9.999999999999999e-05	22.7006	21.0525	41.381499999999996	14.865300000000001	43.7532	30.107499999999998	97.4889	0.410042	0.634339	0.866302	0.701945				4884549863.0
BSS_D02	15157043572.0	10300966982.0	4530.0	2018712602.0	2008317023.0	4725938326.0	1547995443.0	0.0	20534786.0	712149.0	0.0	19.5973	19.4964	45.878600000000006	15.0277	39.0937	26.5687	96.64819999999999	0.507	0.58359	0.845433	0.697981				4856076590.0
BSS_D03	17064266588.0	10835262141.0	7248.0	2280221367.0	2085018664.0	4213471051.0	2256545535.0	0.0	22734525.0	1099716.0	9.999999999999999e-05	21.0445	19.2429	38.886700000000005	20.8259	40.2874	25.5812	95.38600000000001	0.478207	0.52855	0.862074	0.619593				6229004447.0
BSS_D04	15066432398.0	10536201818.0	4832.0	1883199520.0	1833386019.0	3999351982.0	2820259861.0	0.0	18662862.0	613282.0	0.0	17.8736	17.4008	37.9582	26.7673	35.2744	24.668	96.81840000000001	0.497212	0.55488	0.828694	0.654651				4530230580.0
BSS_D05	20042645854.0	13487023423.0	4530.0	2626229778.0	2423000370.0	5447173054.0	2990616435.0	0.0	26306741.0	757938.0	0.0	19.4723	17.965400000000002	40.3883	22.174	37.4377	25.1924	97.1995	0.488368	0.557791	0.815457	0.673784				6555622431.0
BSS_D06	14160237910.0	9471905991.0	5134.0	2019411871.0	1878423722.0	3912611195.0	1661455255.0	0.0	20357759.0	557055.0	9.999999999999999e-05	21.32	19.8315	41.307500000000005	17.5409	41.1515	27.526600000000002	97.33659999999999	0.488144	0.621104	0.8163	0.735452				4688331919.0
BSS_E01	16674678434.0	10472244939.0	5134.0	1985354527.0	1946321268.0	3540062501.0	3000502569.0	0.0	19771411.0	685151.0	0.0	18.9583	18.5855	33.8042	28.652	37.5438	23.5787	96.6507	0.472847	0.576432	0.877877	0.678948				6202433495.0
BSS_E02	15169776798.0	10542664726.0	3926.0	2186377914.0	2057873620.0	4405483230.0	1892926736.0	0.0	22321380.0	560770.0	0.0	20.738400000000002	19.5195	41.7872	17.9549	40.2579	27.9783	97.5493	0.514207	0.582683	0.869391	0.67184				4627112072.0
BSS_E03	14252770408.0	9815060527.0	3926.0	2064420338.0	1938333542.0	4368585573.0	1443717828.0	0.0	21263276.0	533606.0	0.0	21.0332	19.7486	44.509	14.7092	40.781800000000004	28.083999999999996	97.5519	0.471418	0.602172	0.839233	0.690533				4437709881.0
BSS_E04	14745038562.0	10655149220.0	6644.0	2132135205.0	1970173474.0	4426250577.0	2126584466.0	0.0	21632857.0	625556.0	9.999999999999999e-05	20.0104	18.4903	41.541	19.9583	38.5007	27.821600000000004	97.1896	0.424088	0.553648	0.878969	0.640718				4089889342.0
BSS_E05	20369824198.0	14498353490.0	6644.0	3111440462.0	2762117586.0	5746082392.0	2878707638.0	0.0	31211015.0	779319.0	0.0	21.4606	19.051299999999998	39.6327	19.8554	40.5119	28.8346	97.5639	0.438488	0.601249	0.83113	0.724639				5871470708.0
BSS_E06	15393709496.0	10734771179.0	4530.0	2231996737.0	2027012607.0	4680177087.0	1795581225.0	0.0	22933003.0	503968.0	0.0	20.7922	18.8827	43.5983	16.7268	39.6749	27.667199999999998	97.8497	0.440358	0.61717	0.863152	0.722091				4658938317.0
BSS_F01	13081479414.0	7375768497.0	12986.0	852391403.0	941074589.0	3357828006.0	2224464389.0	0.0	9101592.0	773637.0	0.00019999999999999998	11.5566	12.759	45.5251	30.1591	24.3156	13.71	92.1659	0.588309	0.507525	0.793281	0.651804				5705710917.0
BSS_F02	10998269220.0	8585504323.0	6644.0	1712085856.0	1546419227.0	3678418622.0	1648575452.0	0.0	17241458.0	474144.0	9.999999999999999e-05	19.9416	18.012	42.844500000000004	19.2018	37.9536	29.627399999999998	97.3236	0.414047	0.582509	0.811393	0.718726				2412764897.0
BSS_F03	12038381984.0	8475668522.0	6342.0	1568528835.0	1483460772.0	3841825315.0	1581848588.0	0.0	16236731.0	574433.0	9.999999999999999e-05	18.5063	17.502599999999997	45.3277	18.6634	36.0088	25.352200000000003	96.583	0.499978	0.573439	0.818754	0.691832				3562713462.0
BSS_F04	13729282702.0	9811343408.0	8154.0	2074281454.0	1879107008.0	4257363770.0	1600584574.0	0.0	21442136.0	459217.0	9.999999999999999e-05	21.1417	19.1524	43.3923	16.3136	40.2941	28.7953	97.9032	0.397879	0.617252	0.860458	0.732452				3917939294.0
BSS_F05	20489758666.0	14483255874.0	5134.0	2957656036.0	2609474456.0	5908192264.0	3007928926.0	0.0	29672654.0	775768.0	0.0	20.4212	18.0172	40.7933	20.7683	38.4384	27.170299999999997	97.4522	0.421958	0.61079	0.853254	0.700873				6006502792.0
BSS_F06	13106951000.0	9325777971.0	4228.0	1990971584.0	1782345832.0	3543090679.0	2009366266.0	0.0	19896433.0	532953.0	0.0	21.3491	19.112000000000002	37.992399999999996	21.5464	40.461200000000005	28.7887	97.3912	0.44033	0.634007	0.815251	0.759675				3781173029.0
BSS_G01	16034287434.0	11230431389.0	9362.0	2176080324.0	2051955609.0	5248250492.0	1754136836.0	0.0	22589548.0	601409.0	9.999999999999999e-05	19.3766	18.2714	46.7324	15.6195	37.647999999999996	26.3687	97.4067	0.403701	0.635769	0.875057	0.712788				4803856045.0
BSS_G02	11915315474.0	8340241188.0	11476.0	972695293.0	973244904.0	3691977608.0	2702314134.0	0.0	9803254.0	1154938.0	9.999999999999999e-05	11.6627	11.6693	44.267	32.4009	23.3319	16.3314	89.4605	0.438042	0.648667	0.829	0.761389				3575074286.0
BSS_G03	13062628876.0	8937134278.0	10872.0	1194097394.0	1171267625.0	3939485073.0	2632275403.0	0.0	12165917.0	984190.0	9.999999999999999e-05	13.3611	13.1056	44.080000000000005	29.453200000000002	26.4667	18.1079	92.5157	0.492319	0.599025	0.816338	0.695114				4125494598.0
BSS_G04	13816898338.0	9560879781.0	7852.0	2071573825.0	1854511984.0	3930329016.0	1704458704.0	0.0	20857230.0	576053.0	9.999999999999999e-05	21.6672	19.3969	41.1084	17.827399999999997	41.064099999999996	28.4151	97.3123	0.472248	0.576267	0.811838	0.700879				4256018557.0
BSS_G05	18120727820.0	12334737033.0	12684.0	2430136982.0	2326480639.0	5429493298.0	2148615874.0	0.0	24581717.0	748683.0	9.999999999999999e-05	19.7016	18.8612	44.0179	17.4192	38.5628	26.2496	97.04429999999999	0.482768	0.564669	0.836321	0.665005				5785990787.0
BSS_G06	15656197930.0	8252801349.0	11174.0	1195161531.0	1267804438.0	3737998689.0	2051828384.0	0.0	12496291.0	640375.0	9.999999999999999e-05	14.4819	15.362100000000002	45.2937	24.8622	29.843999999999998	15.7316	95.1253	0.661679	0.483435	0.679312	0.706568				7403396581.0
BSS_H01	11099663908.0	7874963765.0	6342.0	1812782923.0	1620044476.0	3207217006.0	1234914368.0	0.0	18060126.0	436587.0	9.999999999999999e-05	23.0196	20.5721	40.726800000000004	15.681500000000002	43.5917	30.927300000000002	97.63969999999999	0.423336	0.631862	0.847127	0.741412				3224700143.0
BSS_H02	12330900090.0	8549037774.0	4530.0	1727632917.0	1607410493.0	3614546678.0	1599444104.0	0.0	17711678.0	561737.0	9.999999999999999e-05	20.208499999999997	18.8022	42.2802	18.7091	39.0107	27.0462	96.9259	0.452007	0.60325	0.862969	0.691732				3781862316.0
BSS_H03	10921495384.0	7843320390.0	4832.0	1625541884.0	1568295382.0	3308483622.0	1340995782.0	0.0	16880568.0	397465.0	9.999999999999999e-05	20.7252	19.9953	42.182199999999995	17.0973	40.7205	29.243599999999997	97.6996	0.427504	0.632213	0.866839	0.691565				3078174994.0
BSS_H04	12322737634.0	8500683079.0	4228.0	1756750503.0	1623445745.0	3654397973.0	1466085484.0	0.0	18006645.0	467931.0	0.0	20.666	19.0978	42.9895	17.2467	39.763799999999996	27.4306	97.46719999999999	0.452827	0.580169	0.848465	0.673845				3822054555.0
BSS_H05	14889029746.0	9891682811.0	6946.0	1243931854.0	1265779094.0	4045897305.0	3336069136.0	0.0	12505606.0	1041634.0	9.999999999999999e-05	12.5755	12.7964	40.902	33.726	25.371899999999997	16.856099999999998	92.3111	0.47042	0.616021	0.824014	0.776237				4997346935.0
BSS_H06	12941998298.0	8126349818.0	9362.0	255002554.0	418321827.0	3996835412.0	3456182267.0	0.0	2789799.0	1354089.0	9.999999999999999e-05	3.138	5.1477	49.1836	42.5306	8.2857	5.2026	67.3232	0.584293	0.635647	0.758495	0.838141				4815648480.0
