Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
mediumpurple2	69	Autism	0.0455055185861905	0.113411079745058	0.401244029141461	0.69354835807252	1	0	
lightsteelblue	70	Autism	0.18018463201475	0.10795326410313	1.66909850768955	0.114544007540911	1	0	
lightcoral	71	Autism	0.00416018305760872	0.101707376550728	0.0409034545840811	0.967878934404556	1	0	
indianred4	72	Autism	0.038411106362614	0.112263855774688	0.34215025038606	0.736690889668699	1	0	
firebrick4	73	Autism	0.0673483418804613	0.110055647264312	0.611948078581703	0.549170086988305	1	0	
darkolivegreen4	74	Autism	0.0640388242969333	0.0991965211439192	0.645575304037353	0.527704929345828	1	0	
brown2	75	Autism	0.0729384303892831	0.106821119312193	0.682809081752037	0.504494726681479	1	0	
blue2	76	Autism	0.2203813113566	0.0908681106667852	2.42528770257744	0.0274978925782149	1	0	
darkviolet	77	Autism	-0.0828268893807633	0.105785485404729	-0.782970263490045	0.445079762392625	1	0	
plum3	78	Autism	-0.0481329058381766	0.116331597858747	-0.413756079381124	0.684545719718067	1	0	
thistle3	79	Autism	-0.110130863915493	0.10616621541849	-1.03734378664037	0.314999707012315	1	0	
thistle	80	Autism	0.0091408304916565	0.115657246850526	0.0790337894128677	0.937985778124064	1	0	
salmon2	81	Autism	-0.0678539743172511	0.107122073211576	-0.633426634520348	0.535405384704509	1	0	
palevioletred2	82	Autism	0.198754410307525	0.105120628130595	1.8907270042242	0.0769112739788183	1	0	
navajowhite1	83	Autism	0.0666298289065698	0.116329685454347	0.572767205948636	0.574763849320049	1	0	
magenta4	84	Autism	-0.119767197981626	0.109280299118905	-1.09596330671927	0.289317665144697	1	0	
lightpink3	85	Autism	-0.0963371238071741	0.1120682729353	-0.859628878753148	0.402690285444813	1	0	
lavenderblush2	86	Autism	-0.0403583722528912	0.115544125186001	-0.349289695066045	0.73142649264986	1	0	
honeydew	87	Autism	0.00396175978447969	0.112981916707527	0.0350654325925041	0.97246131133307	1	0	
darkseagreen3	88	Autism	-0.0467628836330115	0.0999773284597333	-0.467734879031556	0.646281724302283	1	0	
coral	89	Autism	0.10007167701487	0.112159528275847	0.892226265152895	0.385494055156819	1	0	
antiquewhite2	90	Autism	0.248688462467796	0.085295639047734	2.91560582984346	0.0101081078894268	0.940054033716695	0	
coral3	91	Autism	0.0902317182908189	0.10681785604384	0.844725045349966	0.410718104508032	1	0	
mediumpurple4	92	Autism	0.22895868856295	0.0933391285105584	2.45297649781518	0.0260172836048902	1	0	
skyblue4	93	Autism	0.100715208614081	0.108277506633365	0.93015818100716	0.36611167517002	1	0	
