ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1262	0,112,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	276	300
1272	0,0,0,18,25,0,0,8,2,35,71,0,0,24,17,89,0,0,26,0,0,0,9,0	0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,53,205,0,0,0,0,15,1	26,26,6,5,1,0,0,0,0,0,16,0,0,9,0,4,0,0,27,0	8,44,165,0,3,0,0,0,67,92,132,0,1,0,0,0,0,0,0,0	300	300
1274	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0	0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0	0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	233	245
1275	0,134,38,0,16,4,0,0,0,0,0,0,0,0,6,0,0,39,2,0,0,0,0,0	12,0,0,4,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0	17,0,0,0,0,0,0,0,1,5,0,0,0,45,0,18,2,0,0,0	57,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	247	247
1278	11,25,0,31,5,0,0,0,0,7,0,0,4,0,45,0,0,69,28,0,0,0,4,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,32,8,8,0,0,0,0,1,130,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	156
1279	11,43,0,34,0,45,0,62,0,7,0,0,4,58,45,0,0,69,28,4,0,0,2,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,26,149,85,8,0,0,4,0,64,130,0,0,1,3,0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	182	156
1281	0,0,0,0,0,0,0,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0	0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0	247	200
1282	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0	36,0,68,21,18,0,0,0,2,0,9,0,35,0,16,0,0,0,2,0,10,0,7,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	35,0,0,0,1,0,0,0,0,118,0,0,8,13,23,11,1,0,0,0	192	230
1285	0,62,0,48,0,36,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,116,0,0,0,0,24,0,0,21,2,0,0,76,160,0,0,0,73,0,0,0,0,19	16,0,0,15,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0	72,0,0,49,0,0,0,0,75,40,0,0,0,78,0,42,0,0,0,0	235	300
1287	238,69,0,9,0,0,0,122,62,0,0,0,150,50,108,28,0,0,51,71,0,0,6,0	0,0,0,7,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,30,36,67,0,0,0,13,38,49,233,0,54,2,1,2,0,30,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	280	200
1290	7,0,0,20,0,0,0,46,0,0,0,0,5,0,47,0,0,0,22,0,0,0,4,0	0,0,0,2,0,0,0,79,0,0,0,0,0,0,46,46,0,0,20,0,0,0,0,0	0,57,0,57,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0	0,0,0,0,23,0,0,0,0,3,0,0,0,20,0,13,0,0,0,0	282	194
1292	0,0,0,0,0,0,0,0,0,3,0,0,0,12,6,0,0,0,2,0,0,0,0,0	111,26,3,20,29,0,0,142,6,20,45,0,60,74,110,0,31,0,59,0,0,0,5,2	47,0,0,0,0,0,0,36,0,29,290,0,0,0,0,0,0,0,0,1	5,78,15,95,23,0,0,0,64,73,0,0,0,63,0,29,0,0,9,0	212	300
1294	0,0,19,72,49,159,0,0,13,0,181,0,0,0,12,0,174,29,11,8,1,28,11,6	0,0,79,13,0,0,0,36,47,0,0,0,0,0,18,0,0,0,2,0,0,0,6,40	52,0,63,80,0,1,0,38,109,50,220,0,0,34,0,18,0,0,23,2	0,47,60,0,0,0,0,0,0,6,0,0,108,16,0,10,0,0,10,0	285	235
1298	0,0,32,19,20,46,177,48,16,0,69,5,0,0,34,0,0,0,19,3,4,93,4,39	6,0,2,6,10,0,0,0,0,0,16,1,4,0,63,0,0,64,28,0,248,0,1,0	200,21,0,20,21,0,0,0,12,37,167,0,21,105,0,54,41,0,0,0	120,9,120,1,22,0,0,0,68,36,4,0,0,0,0,0,0,0,0,0	300	266
1299	0,114,0,17,25,0,8,141,0,0,0,0,1,0,0,0,0,173,0,0,0,0,0,0	0,0,0,1,0,0,151,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,0,0	20,0,3,20,0,0,0,0,0,73,2,0,63,0,0,0,0,0,0,0	27,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	256	214
1301	0,50,4,11,0,0,0,41,0,13,0,0,0,9,0,0,0,0,0,0,0,61,7,0	245,0,23,107,148,0,0,73,90,60,6,26,134,157,23,23,1,153,5,0,37,0,47,62	21,0,0,0,1,0,0,9,0,18,214,0,0,33,0,16,8,0,3,0	253,141,99,70,14,0,0,21,69,46,93,0,93,57,6,33,140,1,0,0	264	245
1302	94,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,12,0	155,0,2,36,74,0,0,0,3,18,0,0,76,0,38,1,65,30,19,0,109,0,8,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	155,200,45,18,7,0,0,0,13,90,59,0,27,0,0,1,0,1,0,0	245	244
1303	199,0,0,20,0,0,0,0,3,12,0,1,145,0,0,0,10,31,0,26,3,0,16,0	155,0,2,36,74,0,0,0,3,18,0,0,76,0,38,1,65,30,19,0,109,0,9,14	58,36,0,0,0,0,0,7,7,0,79,0,6,0,0,1,153,5,0,0	155,200,0,18,7,0,0,0,13,90,59,0,27,0,0,1,0,1,0,0	245	244
