ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
67	223,221,3,117,0,5,0,4,61,16,22,0,72,158,108,0,5,21,25,166,107,0,20,107	0,20,38,10,38,0,0,112,0,0,0,0,0,8,0,0,1,0,0,56,0,0,29,0	169,68,199,34,33,64,19,2,25,1,1,0,0,254,0,64,103,0,8,0	35,0,0,12,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0	2865	150
68	0,131,18,43,15,106,0,72,0,1,98,47,0,155,29,59,254,11,3,0,0,0,19,47	609,1682,252,609,258,782,519,1843,388,75,261,97,358,1187,1094,132,252,114,588,354,334,60,177,176	0,51,0,12,2,60,7,6,4,27,43,0,20,3,0,2,0,0,4,0	959,290,516,831,39,1,0,169,389,946,1450,0,1002,529,2,350,118,84,11,0	1725	150
72	25,0,0,52,36,0,0,47,1,0,76,58,9,156,113,0,0,0,27,12,12,0,2,11	211,223,8,152,58,15,0,354,176,27,313,59,133,436,433,2,176,303,261,69,116,1,32,448	135,14,216,50,34,0,0,22,27,206,70,0,21,80,0,22,4,0,10,0	327,68,243,168,0,0,0,50,73,277,138,0,235,144,0,82,82,176,11,0	778	150
74	0,78,0,4,13,0,0,4,0,0,185,0,0,0,0,0,0,77,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,5,73,0,0,0,0,0,0,38,16,0,0,0,0,0,0,0,7,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	234	150
75	0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0	0,0,23,24,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,35,0,0,0	0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17,14,0,47,0,0,0,0,12,83,0,0,0,0,0,0,8,0,0,0	221	150
76	0,0,0,0,0,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0	0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	366	150
78	0,0,14,3,38,0,0,173,0,55,0,0,0,2,17,0,0,0,3,126,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,3,24,0,0,0,0,135,349,1,0,0,0,0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,38,0,0,0,0	999	150
83	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0	37,0,83,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0	226	150
84	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,4,0,0,0,120,28,0,6,0,0,0,179,0,1,0,80,0,63,0,6,75	0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0	40,6,12,59,0,0,0,0,0,36,0,0,89,161,0,78,70,0,3,126	517	150
85	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0	1,15,0,8,0,46,0,0,0,0,0,0,1,0,0,0,0,47,0,0,11,0,6,0	6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34,0,0,0,0,0,0,0,0,7,0,0,38,0,0,0,0,0,0,0	842	150
86	109,5,0,10,0,0,0,0,66,0,0,0,25,33,0,0,0,0,0,0,0,0,12,0	10,0,0,0,0,0,0,0,0,0,0,0,18,0,62,0,0,0,27,0,0,0,15,0	6,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0	917	150
87	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0	369	150
91	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	983	150
93	0,104,44,15,3,0,0,0,4,2,139,0,0,1,106,15,0,0,24,217,2,3,1,53	82,19,0,0,67,18,135,0,42,0,27,123,44,5,5,56,2,0,4,0,0,133,43,37	70,0,12,0,11,1,0,10,0,17,187,0,0,78,0,34,0,0,0,0	9,3,20,35,0,0,0,0,41,130,13,0,55,83,0,62,54,0,0,0	1114	150
94	0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,39,0	0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0	252	150
95	1,0,20,1,1,130,0,202,5,0,40,0,0,0,38,0,0,0,18,0,0,0,8,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,6,0,0,0,2,0,58,0,2,0,0,0,108,0,21,30,0,0,0	0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0	365	150
99	0,0,0,0,0,0,0,4,0,2,28,0,0,0,0,0,0,2,0,0,0,0,4,0	0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0	6,1,55,0,0,0,0,0,0,19,48,0,0,0,0,0,26,0,0,0	0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	261	150
103	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	426	150
104	0,4,0,38,6,33,0,79,0,11,23,0,1,97,65,0,0,139,13,231,10,0,2,1	0,6,10,0,0,0,0,0,0,25,53,27,0,32,0,0,0,91,0,27,12,0,12,57	37,82,60,11,26,0,0,16,0,96,1,0,0,0,0,0,102,0,5,0	79,98,0,47,11,3,5,15,8,42,4,0,38,0,0,0,0,0,0,0	1600	150
105	0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,5,0,11,0,92,63,0,0,0,0,0,4,26,33,0,0,42,14,0,115,0,0,0	2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,24,0,13,9,0,0,0,16,77,2,0,0,2,0,6,8,0,0,0	373	150
106	0,0,3,20,0,96,0,0,0,2,0,0,0,0,22,0,0,51,4,0,0,0,4,0	0,0,4,10,0,0,0,24,1,0,0,0,0,0,50,0,0,0,18,0,0,0,12,0	8,69,0,0,3,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0	0,40,0,0,0,0,0,27,0,0,39,0,0,2,0,0,3,0,0,0	225	150
107	117,0,0,19,4,23,0,1,11,15,3,35,41,3,9,0,0,0,5,36,0,0,10,17	0,0,0,0,0,0,0,48,0,0,0,0,0,0,50,0,0,0,18,0,0,0,0,0	37,18,0,26,39,0,0,0,24,0,28,0,0,0,0,0,0,0,1,0	0,40,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	545	150
109	0,0,32,49,2,0,0,0,0,8,73,0,0,17,120,0,0,427,33,0,0,0,5,0	0,0,46,18,0,0,0,10,0,0,0,8,0,23,0,0,0,1,0,0,0,0,2,36	102,26,37,2,5,0,0,0,11,65,9,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,48,0,0,0	679	150
118	155,51,61,43,93,50,0,186,18,26,46,0,47,505,108,0,3,46,29,136,0,0,64,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,63,227,58,13,4,0,10,37,98,56,0,9,15,32,7,17,1,2,0	8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	447	150
121	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0	260	150
122	99,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0	0,242,0,0,0,0,0,50,0,0,12,0,0,68,0,0,0,0,0,0,0,0,7,0	0,0,0,29,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0	229	150
