ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
50	0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,15,0	0,16,0,47,34,70,0,0,0,8,0,0,0,3,40,0,0,0,18,0,0,0,3,23	34,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,68,41,0,2,0,0,0,0,2,36,0,0,25,0,23,1,0,0,0	230	295
51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	78,16,0,54,34,121,0,0,0,8,0,0,42,63,40,0,0,24,18,1,0,0,12,23	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,86,78,40,10,173,41,6,0,22,36,0,0,0,0,0,3,0,23,0	220	746
52	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0	0,10,0,3,0,26,0,75,21,5,0,0,0,0,0,0,0,0,0,0,72,53,8,28	0,0,6,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0	223	286
54	63,0,0,0,0,0,0,0,1,0,8,0,40,0,0,0,0,0,0,4,28,0,12,0	0,0,0,17,2,0,0,26,30,4,0,0,0,0,0,151,82,0,0,0,0,0,8,28	63,0,0,0,0,0,0,0,0,36,39,0,15,0,0,0,145,0,0,0	4,0,0,19,0,0,0,1,15,43,23,0,14,0,0,0,42,0,0,0	276	298
55	60,0,0,29,0,0,0,0,0,2,20,0,40,5,56,0,0,0,12,0,0,0,8,0	0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	123,97,3,56,4,152,52,0,0,56,0,0,2,0,0,0,33,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	298	189
56	0,18,108,92,35,132,0,14,10,20,66,0,0,205,123,0,0,1,62,116,0,0,1,31	0,92,67,33,5,1,0,91,49,15,3,0,0,87,7,1,22,45,4,0,0,0,6,0	160,0,25,0,0,4,4,0,23,119,86,0,36,1,4,0,19,29,0,0	6,89,57,77,0,0,0,0,0,237,26,0,39,29,9,19,0,0,0,0	177	174
57	66,65,0,10,3,0,9,12,89,1,12,2,46,64,11,0,1,1,10,0,78,45,13,0	80,0,50,56,95,113,0,173,196,15,49,255,41,70,88,56,398,53,48,186,3,48,10,38	85,18,55,34,29,529,228,0,0,22,26,0,53,109,0,85,121,1,2,0	39,237,17,159,25,172,91,0,123,120,92,0,127,85,0,41,55,12,17,0	232	297
58	15,0,0,8,15,0,285,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0	0,0,60,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	19,54,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0	7,0,37,0,16,0,0,0,0,0,16,0,0,84,0,61,0,0,0,0	286	238
60	0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,13,0	0,225,0,0,0,0,0,64,8,0,0,0,0,41,0,0,0,0,0,0,0,0,12,0	1,0,1,0,0,0,0,0,26,0,0,984,0,1,0,0,0,0,0,0	33,0,0,10,1,23,19,0,0,48,0,0,0,0,0,0,19,0,0,0	182	209
63	52,0,60,94,3,73,0,158,11,13,102,90,18,38,90,11,0,0,20,0,0,1,46,52	0,0,7,13,0,0,0,144,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,49	5,192,102,59,53,414,165,0,67,57,237,0,127,3,1,0,43,18,10,0	0,23,0,0,0,0,0,0,0,25,0,0,33,0,0,0,3,0,2,0	1080	367
66	0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,9,0	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,123,0,0,0,0,0,0,0	0,0,9,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,2,172	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	308	248
67	18,0,0,1,118,0,0,0,7,0,0,0,2,0,34,0,0,0,24,0,0,0,3,1	0,0,6,0,24,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0	4,33,31,0,0,1,0,0,0,0,33,0,0,37,0,23,0,0,1,0	41,0,26,0,31,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0	272	268
68	20,67,38,6,4,0,10,71,21,8,0,0,7,2,0,0,0,77,0,8,0,0,35,34	17,15,94,64,20,294,0,102,55,0,39,58,12,51,7,0,20,0,4,36,31,0,18,32	149,0,90,77,3,309,123,9,82,60,308,0,4,7,0,1,6,0,17,1	213,46,0,0,0,211,107,43,51,62,12,0,20,246,0,176,0,0,6,0	302	273
69	0,0,59,10,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,36	0,0,0,0,7,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0	1,0,0,0,0,78,31,0,0,0,204,0,4,0,0,0,0,0,0,0	219	185
70	0,30,0,2,83,0,202,23,29,0,0,0,0,1,14,0,0,0,12,0,22,2,8,12	0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0	0,8,0,63,0,0,0,0,14,25,11,1364,97,87,0,48,14,0,6,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	283	289
71	70,0,22,14,89,0,0,0,1,22,17,3,32,0,0,0,0,0,1,0,2,0,5,100	1,0,0,30,0,0,0,70,59,6,0,0,0,0,40,0,14,0,27,0,4,7,2,0	0,7,101,37,12,0,0,0,0,93,3,0,49,3,0,5,0,0,19,0	2,23,7,1,14,0,0,0,39,4,343,0,0,1,0,0,60,0,0,0	276	299
73	70,167,4,249,126,367,100,510,40,27,64,12,39,167,355,0,329,13,147,0,16,79,49,80	0,170,4,4,0,0,17,0,0,9,0,1,0,33,20,0,9,87,9,164,0,7,6,0	171,66,280,63,57,0,0,78,142,360,946,0,93,204,7,126,186,0,0,0	0,6,0,21,8,170,91,1,0,65,22,0,23,0,0,0,21,82,0,0	330	222
74	0,0,0,0,0,0,0,17,24,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,53,0,57,7,0,0,0,40,9,0,0,0,7,10,0,0,0,9,170,0,0,3,0	0,0,3,2,0,0,0,3,0,0,51,0,0,0,0,0,17,0,0,0	36,41,66,9,0,0,0,0,0,160,0,0,7,0,0,0,56,0,10,0	258	279
75	70,167,4,249,133,367,100,603,40,27,64,13,39,169,355,0,329,13,147,0,16,79,49,82	0,10,0,8,0,0,0,0,0,10,112,0,0,14,17,0,0,0,10,0,0,0,5,0	171,97,280,91,57,0,0,78,145,360,946,0,93,181,11,119,198,0,0,0	3,0,0,11,7,0,0,0,0,38,282,0,0,67,7,35,8,0,0,0	330	222
76	70,167,4,249,133,367,100,603,40,27,64,13,39,169,355,0,329,13,147,0,16,79,49,82	0,10,0,8,0,0,0,0,0,0,112,0,0,14,49,0,0,0,27,0,0,0,5,0	171,97,280,91,57,0,0,78,145,360,946,0,93,181,11,119,198,0,0,0	3,0,0,0,7,0,0,0,0,38,37,0,0,67,7,35,8,0,0,0	330	225
77	0,0,60,40,80,23,0,108,26,5,31,0,0,62,102,91,0,38,59,80,7,0,34,0	0,10,0,8,0,0,0,0,0,0,112,0,0,14,17,0,0,0,10,0,0,0,5,0	129,142,287,125,24,0,4,52,97,118,55,0,86,54,0,37,141,0,24,0	3,0,0,0,7,0,0,0,0,38,37,0,0,67,7,35,8,0,0,0	258	225
78	0,56,0,17,0,0,132,28,51,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0	0,219,0,24,2,0,0,61,15,0,8,0,0,23,5,0,0,0,1,0,151,0,2,0	0,68,0,3,0,0,0,0,0,22,0,0,0,0,0,0,7,1,0,0	5,34,0,0,16,0,0,0,0,63,0,0,0,0,0,0,2,0,0,0	247	247
79	0,0,0,29,0,143,0,137,24,3,129,0,0,8,43,0,0,0,12,33,0,0,13,4	0,62,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,1,0,8,90,45,27,0,2,9,155,0,0,0,0,0,64,0,0	0,0,0,0,4,13,6,0,0,0,0,0,11,0,0,0,0,0,0,0	156	320
86	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0	314	219
89	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,9,11,0,0,0,50,0,0,0,0,0,24,0,15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	322	262
90	0,25,46,27,0,160,0,0,0,9,0,0,0,0,0,0,119,0,0,6,0,0,0,0	21,0,0,0,0,0,0,33,0,8,0,0,25,59,14,0,0,0,9,0,0,0,0,0	0,0,0,2,1,0,0,0,0,1,73,0,3,0,1,0,0,0,0,0	13,11,0,0,0,2,2,0,0,121,0,0,0,12,0,4,11,0,0,0	300	239
93	0,21,0,30,0,0,0,32,59,0,15,0,0,10,45,74,0,0,18,125,0,0,23,0	124,71,0,46,44,37,8,62,20,11,167,0,77,20,68,0,80,40,43,1,64,0,13,8	0,0,19,0,8,0,0,0,33,12,28,0,52,16,0,15,0,0,0,0	105,7,40,68,0,0,0,28,6,112,70,0,90,49,0,26,21,34,0,0	360	201
95	375,424,7,135,43,2,0,255,260,6,105,0,281,210,154,77,24,91,61,269,7,195,44,58	124,71,0,46,44,37,8,62,20,11,167,0,77,20,68,0,80,40,43,1,64,0,13,8	240,165,134,183,0,0,0,0,244,189,134,0,70,355,0,226,90,0,78,0	105,7,40,68,0,0,0,28,6,112,70,0,90,49,0,26,21,34,0,0	285	201
98	0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0	0,39,0,0,0,132,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0	493	241
99	0,0,0,0,0,0,0,23,0,0,0,0,0,0,86,0,0,0,45,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	345	366
101	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	199	192
102	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	235	316
103	79,0,12,7,2,36,0,49,0,0,142,40,64,236,70,0,94,0,30,0,1,90,19,100	0,0,0,64,14,0,0,177,33,0,92,0,0,248,55,0,0,88,19,0,0,0,6,0	109,0,0,73,0,40,11,0,29,24,0,0,0,0,0,0,23,0,31,0	25,0,68,34,0,21,13,0,29,23,1,2,42,0,1,2,179,0,2,0	311	348
108	0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10	0,0,0,0,0,0,0,0,33,0,52,0,1,0,0,0,1,0,0,0	0,0,11,0,0,0,0,0,0,13,0,0,93,4,0,3,2,0,0,0	305	289
109	0,74,0,12,100,0,0,0,0,0,0,0,0,0,18,0,0,21,10,0,0,0,0,0	0,0,86,0,0,0,0,34,2,0,0,36,0,22,0,0,0,0,0,0,0,0,0,0	0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,50,10,0,0,0,62,0,0,0,1,0,0,0,2,0,0,0	289	341
110	0,0,0,0,0,0,0,0,42,0,0,0,0,62,0,0,0,0,0,0,0,0,6,0	115,0,42,43,34,0,125,0,0,0,163,0,33,0,37,0,22,0,6,163,13,12,13,0	0,8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	81,127,83,1,45,0,1,43,2,111,31,0,11,0,0,0,0,0,3,0	298	420
111	0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	255,160,39,171,11,32,0,114,56,33,115,0,70,1,83,0,6,116,17,262,159,68,36,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	124,80,161,172,23,198,85,35,134,106,207,0,25,66,0,10,105,0,1,0	203	1085
113	0,0,27,25,49,93,0,40,0,6,0,0,0,35,26,1,0,0,16,1,0,0,6,1	0,0,0,0,1,0,0,40,9,6,0,49,0,19,15,42,0,0,3,0,0,0,0,0	18,0,43,46,28,0,0,0,0,61,25,0,0,0,0,0,14,0,0,0	9,24,9,44,0,0,0,0,0,62,168,0,8,0,0,3,6,0,1,0	252	248
114	69,33,18,53,20,126,0,163,55,10,91,0,37,296,181,84,0,70,54,5,27,0,2,38	0,14,31,124,50,93,32,220,1,16,273,2,0,189,59,1,5,0,26,2,50,0,16,1	149,45,0,75,22,0,0,15,53,121,19,0,115,5,0,0,10,0,0,0	187,42,111,56,55,0,0,123,30,378,140,0,0,80,0,21,130,0,0,0	674	397
116	0,0,0,0,0,0,0,0,36,39,0,41,0,10,0,0,0,19,0,0,32,0,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,160,8,0,0,0,0,0,0,0,114,0,0,9,4,5,0,0,1,0	0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	343	209
